city,county,state,fips,latitude,longitude,population,redState,unemploymentRate,povertyProp,tempDiff,numDisasters,avgEmissionsPerCapita,UNFCCC,hasCommitments,hasActionsUndertaken,hasEmissionInventory,hasInitiativeParticipations,hasImpact,hasMitigations,hasAdaptations,hasRiskAssessments,hasClimateActionPlans,hasFinanceActions
New Bedford,Bristol,MA,25005.0,41.6697,-70.9428,153701.0,False,0.029,0.11900000000000001,-0.6152499999999996,47.0,8.799999999999999,False,True,True,True,True,False,True,True,True,True,False
Oxford,Butler,OH,39017.0,39.5061,-84.7446,22051.0,True,0.037,0.11599999999999999,0.5749285714285755,54.0,17.01666666666667,False,True,True,True,False,False,True,True,False,True,False
Orlando,Orange,FL,12095.0,28.4773,-81.337,1882705.0,True,0.031,0.149,1.8295714285714304,130.0,10.883333333333333,False,True,True,True,True,False,True,True,False,True,False
Omaha,Douglas,NE,31055.0,41.2627,-96.0529,821345.0,True,0.025,0.11699999999999999,-1.3741547619047623,62.0,25.23333333333333,False,False,True,False,False,False,True,True,True,False,False
Olympia,Thurston,WA,53067.0,47.0417,-122.8959,210877.0,False,0.047,0.099,-2.111226190476188,136.0,10.266666666666667,False,True,False,True,True,False,True,False,False,True,False
Oberlin,Lorain,OH,39093.0,41.286,-82.2198,8194.0,True,0.037,0.128,0.5749285714285755,54.0,17.01666666666667,False,True,True,False,True,False,True,False,False,True,False
Oakland,Alameda,CA,6001.0,37.7904,-122.2166,437825.0,False,0.053,0.094,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Northampton,Hampshire,MA,25015.0,42.3266,-72.6745,28245.0,False,0.029,0.11699999999999999,-0.6152499999999996,47.0,8.799999999999999,False,True,True,False,True,False,True,False,False,False,False
Newark,Essex,NJ,34013.0,40.7245,-74.1725,307355.0,False,0.048,0.151,-0.4110119047619065,50.0,10.799999999999999,False,True,False,False,False,False,False,False,False,False,False
New Orleans,Orleans,LA,22071.0,30.0687,-89.9288,932759.0,True,0.042,0.252,1.2045357142857114,79.0,40.93333333333333,False,True,True,True,True,False,True,True,True,True,False
Natchez,Adams,MS,28001.0,31.5437,-91.3867,14380.0,True,0.031,0.258,1.5567261904761907,72.0,20.983333333333334,False,False,False,False,True,False,False,False,False,False,False
Park City,Summit,UT,49043.0,40.6502,-111.5013,8379.0,True,0.028,0.057999999999999996,-0.5405119047619067,34.0,18.833333333333332,False,True,True,True,True,False,True,True,True,True,False
Moab,Grand,UT,49019.0,38.5701,-109.5478,5329.0,True,0.028,0.111,-0.5405119047619067,34.0,18.833333333333332,False,True,True,False,True,False,True,True,False,True,False
Miramar,Broward,FL,12011.0,25.9773,-80.3351,135158.0,True,0.031,0.128,1.8295714285714304,130.0,10.883333333333333,False,False,True,False,True,False,False,True,False,False,False
