state,unemploymentRate
AK,4.7
AL,3
AR,3.6
AZ,4.1
CA,5.3
CO,3.5
CT,4.5
DC,5.1
DE,4
FL,3.1
GA,3.1
HI,3.1
IA,2.9
ID,3.3
IL,4.8
IN,3.5
KS,2.7
KY,4.4
LA,4.2
MA,2.9
MD,2.4
ME,3.4
MI,3.9
MN,2.7
MO,3.3
MS,3.1
MT,3.4
NC,3.5
ND,2
NE,2.5
NH,2.6
NJ,4.8
NM,3.9
NV,5.2
NY,4.4
OH,3.7
OK,3.6
OR,4.2
PA,3.4
RI,3.9
SC,3.1
SD,2.1
TN,3.3
TX,3.9
UT,2.8
VA,3
VT,2.3
WA,4.7
WI,3
WV,4.3
WY,2.8
