id,city,state,state_name,county_fips,county_name,latitude,longitude
1840010455,Edgewood,IN,Indiana,18095,Madison,40.1032,-85.7375
1840002140,Roberts,WI,Wisconsin,55109,St. Croix,44.9733,-92.5505
1840029104,Franklin Park,FL,Florida,12011,Broward,26.1327,-80.1763
1840006957,Ida Grove,IA,Iowa,19093,Ida,42.3439,-95.4733
1630035482,H. Rivera Colon,PR,Puerto Rico,72135,Toa Alta,18.3482,-66.2732
1840010390,Wilber,NE,Nebraska,31151,Saline,40.481,-96.9645
1840016063,Enfield,NC,North Carolina,37083,Halifax,36.18,-77.669
1840011137,Prairie Grove,IL,Illinois,17111,McHenry,42.277,-88.2695
1840011587,Orion,IL,Illinois,17073,Henry,41.3514,-90.3762
1840008295,Minonk,IL,Illinois,17203,Woodford,40.9104,-89.0381
1840026489,Spinnerstown,PA,Pennsylvania,42017,Bucks,40.4412,-75.4414
1840017405,Crow Agency,MT,Montana,30003,Big Horn,45.6026,-107.4591
1840004275,Youngstown,NY,New York,36063,Niagara,43.2488,-79.0443
1840007954,Lake Mills,IA,Iowa,19189,Winnebago,43.4169,-93.5315
1840004374,Billington Heights,NY,New York,36029,Erie,42.7862,-78.6237
1840013827,Buena Vista,GA,Georgia,13197,Marion,32.3188,-84.5177
1840026869,Prince George,VA,Virginia,51149,Prince George,37.2209,-77.2683
1840010006,Winsted,MN,Minnesota,27085,McLeod,44.9574,-94.0498
1840025122,Cade,LA,Louisiana,22099,St. Martin,30.0926,-91.8996
1840014316,Owingsville,KY,Kentucky,21011,Bath,38.1364,-83.7604
1840019635,Stowell,TX,Texas,48071,Chambers,29.7814,-94.3794
1840022905,Anza,CA,California,6065,Riverside,33.5678,-116.6966
1840036372,Ben Wheeler,TX,Texas,48467,Van Zandt,32.4463,-95.7023
1840002942,Montrose,MI,Michigan,26049,Genesee,43.1765,-83.8932
1840004912,Glen Lyon,PA,Pennsylvania,42079,Luzerne,41.1806,-76.0785
1840021164,Winlock,WA,Washington,53041,Lewis,46.4907,-122.9341
1840003339,Roaming Shores,OH,Ohio,39007,Ashtabula,41.6354,-80.8246
1840011926,Princeville,IL,Illinois,17143,Peoria,40.9348,-89.7547
1840020648,Bartonville,TX,Texas,48121,Denton,33.079,-97.1507
1840008934,St. Bonifacius,MN,Minnesota,27053,Hennepin,44.9054,-93.7477
1840013234,Beattyville,KY,Kentucky,21129,Lee,37.5862,-83.7065
1840004298,Clyde,NY,New York,36117,Wayne,43.0839,-76.8707
1840013256,North Corbin,KY,Kentucky,21125,Laurel,36.9649,-84.0973
1840012001,Fort Recovery,OH,Ohio,39107,Mercer,40.4121,-84.7762
1840013272,Elkton,KY,Kentucky,21219,Todd,36.8134,-87.161
1840004518,South Deerfield,MA,Massachusetts,25011,Franklin,42.4795,-72.5947
1840023800,Southworth,WA,Washington,53035,Kitsap,47.5125,-122.5298
1840023377,Willow,AK,Alaska,2170,Matanuska-Susitna,61.8157,-149.753
1840017155,Century,FL,Florida,12033,Escambia,30.9767,-87.2629
1840025179,Abram,TX,Texas,48215,Hidalgo,26.2173,-98.4179
1840013153,Sebewaing,MI,Michigan,26063,Huron,43.7318,-83.4497
1840012876,New Athens,IL,Illinois,17163,St. Clair,38.3188,-89.8743
1840007628,Carterville,MO,Missouri,29097,Jasper,37.1466,-94.4388
1840004382,Town Line,NY,New York,36029,Erie,42.8858,-78.561
1840020596,Honey Grove,TX,Texas,48147,Fannin,33.5866,-95.909
1840021235,Waldport,OR,Oregon,41041,Lincoln,44.4172,-124.0665
1840000735,Mercer,PA,Pennsylvania,42085,Mercer,41.2266,-80.2361
1840008158,Granger,IA,Iowa,19049,Dallas,41.7617,-93.8236
1840000979,Roseto,PA,Pennsylvania,42095,Northampton,40.8778,-75.2204
1840017262,Mangonia Park,FL,Florida,12099,Palm Beach,26.7586,-80.0761
1840011079,Pinckney,MI,Michigan,26093,Livingston,42.4543,-83.9457
1840013543,Lynchburg,MS,Mississippi,28033,DeSoto,34.9623,-90.1052
1840017632,Caruthers,CA,California,6019,Fresno,36.5399,-119.845
1840018639,Canyonville,OR,Oregon,41019,Douglas,42.9273,-123.2789
1840153077,Stratford Downtown,CT,Connecticut,9120,Greater Bridgeport,41.1989,-73.1276
