state,numDisasters
AL,82
AK,55
AZ,68
AR,71
CA,284
CO,80
CT,31
DE,21
FL,130
GA,65
HI,45
ID,44
IL,60
IN,48
IA,63
KS,70
KY,74
LA,79
ME,56
MD,32
MA,47
MI,37
MN,60
MS,72
MO,69
MT,68
NE,62
NV,73
NH,49
NJ,50
NM,83
NY,95
NC,59
ND,58
OH,54
OK,173
OR,79
PA,59
RI,22
SC,30
SD,64
TN,69
TX,255
UT,34
VT,45
VA,64
WA,136
WV,68
WI,47
WY,32
