,coef,std err,z,P>|z|,[0.025,0.975]
const,7.7181,2.605,2.963,0.003,2.613,12.824
population,6.435e-06,1.76e-06,3.656,0.0,2.99e-06,9.89e-06
povertyProp,-32.2155,7.028,-4.584,0.0,-45.99,-18.441
avgEmissionsPerCapita,0.0917,0.044,2.064,0.039,0.005,0.179
medianAge,-0.1155,0.055,-2.104,0.035,-0.223,-0.008
