,coef,std err,z,P>|z|,[0.025,0.975]
const,-2.7077,0.68,-3.984,0.0,-4.04,-1.376
population,8.857e-07,3.04e-07,2.914,0.004,2.9e-07,1.48e-06
medianHouseholdIncome,3.073e-05,8.43e-06,3.648,0.0,1.42e-05,4.72e-05
