,coef,std err,z,P>|z|,[0.025,0.975]
const,2.4879,2.454,1.014,0.311,-2.322,7.298
population,1.439e-06,9.97e-07,1.444,0.149,-5.15e-07,3.39e-06
medianHouseholdIncome,4.736e-05,1.5e-05,3.15,0.002,1.79e-05,7.68e-05
numDisasters,-0.007,0.003,-2.738,0.006,-0.012,-0.002
medianAge,-0.1128,0.054,-2.094,0.036,-0.218,-0.007
