,coef,std err,z,P>|z|,[0.025,0.975]
const,-2.3051,0.473,-4.871,0.0,-3.233,-1.378
population,5.142e-06,1.12e-06,4.595,0.0,2.95e-06,7.34e-06
redCounty,-1.6365,0.259,-6.329,0.0,-2.143,-1.13
lessThanHighSchoolProp,-11.2483,3.114,-3.612,0.0,-17.352,-5.144
avgEmissionsPerCapita,-0.0415,0.023,-1.825,0.068,-0.086,0.003
numDisasters,0.0038,0.001,3.593,0.0,0.002,0.006
unemploymentRate,-37.7795,13.251,-2.851,0.004,-63.75,-11.809
povertyProp,7.1326,2.506,2.847,0.004,2.222,12.044
redState,-0.4483,0.261,-1.717,0.086,-0.96,0.063
