,coef,std err,z,P>|z|,[0.025,0.975]
const,1.5515,0.248,6.266,0.0,1.066,2.037
redCounty,-0.9902,0.404,-2.45,0.014,-1.782,-0.198
population,6.131e-07,2.23e-07,2.743,0.006,1.75e-07,1.05e-06
