,coef,std err,z,P>|z|,[0.025,0.975]
const,-6.5556,1.785,-3.673,0.0,-10.054,-3.057
population,1.268e-06,3.22e-07,3.932,0.0,6.36e-07,1.9e-06
medianHouseholdIncome,6.12e-05,1.48e-05,4.143,0.0,3.22e-05,9.02e-05
povertyProp,20.8728,7.021,2.973,0.003,7.112,34.634
lessThanHighSchoolProp,-11.1956,4.754,-2.355,0.019,-20.514,-1.877
