,coef,std err,z,P>|z|,[0.025,0.975]
const,-0.2797,0.846,-0.331,0.741,-1.938,1.378
population,1.039e-06,5.03e-07,2.064,0.039,5.21e-08,2.02e-06
lessThanHighSchoolProp,-8.0954,3.861,-2.097,0.036,-15.663,-0.528
medianHouseholdIncome,1.707e-05,8.73e-06,1.956,0.05,-3.61e-08,3.42e-05
