,coef,std err,z,P>|z|,[0.025,0.975]
const,0.2236,0.9,0.249,0.804,-1.539,1.987
population,1.886e-06,5.46e-07,3.454,0.001,8.16e-07,2.96e-06
lessThanHighSchoolProp,-10.1646,4.168,-2.439,0.015,-18.334,-1.995
medianHouseholdIncome,1.492e-05,9.99e-06,1.494,0.135,-4.65e-06,3.45e-05
