,coef,std err,z,P>|z|,[0.025,0.975]
const,-4.7994,2.083,-2.304,0.021,-8.881,-0.717
numDisasters,0.0132,0.005,2.471,0.013,0.003,0.024
lessThanHighSchoolProp,-25.3963,13.773,-1.844,0.065,-52.391,1.598
povertyProp,19.4192,11.895,1.633,0.103,-3.894,42.732
