coef,std err,z,P>|z|,[0.025,0.975]
-2.0394,2.724,-0.749,0.454,-7.379,3.3
6.722e-06,1.69e-06,3.973,0.0,3.41e-06,1e-05
0.1141,0.528,0.216,0.829,-0.921,1.149
6.256,29.511,0.212,0.832,-51.585,64.097
-11.484,9.034,-1.271,0.204,-29.19,6.222
0.1219,0.232,0.525,0.6,-0.333,0.577
-0.0039,0.004,-1.057,0.29,-0.011,0.003
0.0768,0.044,1.753,0.08,-0.009,0.163
-3.0434,7.403,-0.411,0.681,-17.554,11.467
4.372e-05,2.5e-05,1.747,0.081,-5.32e-06,9.28e-05
