,hasCommitments,hasActionsUndertaken,hasEmissionInventory,hasInitiativeParticipations,hasImpact,hasMitigations,hasAdaptations,hasRiskAssessments,hasClimateActionPlans,hasFinanceActions
Full Model AIC,217.02642839073803,157.06125667751013,241.72661097567584,186.40146536353987,92.08365274399108,186.77344952967962,228.52453436451935,256.4015251602817,242.6870134724101,114.54040253190405
Full Model BIC,256.4248731355939,196.45970142236598,281.1250557205317,225.79991010839575,131.48209748884693,226.17189427453548,267.9229791093752,295.7999699051376,282.08545821726597,153.93884727675993
Forward Selection AIC,205.95133559257675,148.92822282906616,230.9334041402301,178.22869681211463,78.25775360746783,178.71769864766372,219.6236800370598,245.06126170005405,231.40073391185314,104.05154001823144
Forward Selection BIC,219.0841505075287,165.3442414727561,247.34942278392003,188.0783079983286,91.39056852241978,195.13371729135366,232.75649495201176,254.910872886268,247.81675255554308,110.61794747570741
