,coef,std err,z,P>|z|,[0.025,0.975]
const,-3.1234,1.352,-2.31,0.021,-5.774,-0.473
population,1.605e-06,1.06e-06,1.508,0.131,-4.81e-07,3.69e-06
medianHouseholdIncome,5.019e-05,1.63e-05,3.078,0.002,1.82e-05,8.21e-05
numDisasters,-0.0058,0.003,-2.161,0.031,-0.011,-0.001
avgEmissionsPerCapita,0.0603,0.039,1.552,0.121,-0.016,0.137
