,coef,std err,z,P>|z|,[0.025,0.975]
const,-3.1342,1.185,-2.644,0.008,-5.457,-0.811
population,1.246e-06,7.57e-07,1.645,0.1,-2.39e-07,2.73e-06
medianHouseholdIncome,3.539e-05,1.18e-05,3.005,0.003,1.23e-05,5.85e-05
avgEmissionsPerCapita,0.0573,0.039,1.46,0.144,-0.02,0.134
