,coef,std err,z,P>|z|,[0.025,0.975]
const,-1.7988,2.639,-0.682,0.495,-6.97,3.373
population,6.782e-06,1.75e-06,3.884,0.0,3.36e-06,1.02e-05
povertyProp,-12.3997,8.853,-1.401,0.161,-29.751,4.952
avgEmissionsPerCapita,0.0797,0.045,1.779,0.075,-0.008,0.168
medianHouseholdIncome,4.179e-05,2.47e-05,1.691,0.091,-6.64e-06,9.02e-05
numDisasters,-0.0048,0.003,-1.589,0.112,-0.011,0.001
