,coef,std err,z,P>|z|,[0.025,0.975]
const,2.9802,2.099,1.42,0.156,-1.134,7.095
population,9.006e-07,4.6e-07,1.956,0.05,-1.87e-09,1.8e-06
lessThanHighSchoolProp,-8.4656,3.925,-2.157,0.031,-16.159,-0.772
medianHouseholdIncome,1.827e-05,8.73e-06,2.092,0.036,1.15e-06,3.54e-05
medianAge,-0.0839,0.046,-1.807,0.071,-0.175,0.007
